record_id,rna_id,source_model,status,sequence_length,gt_pair_count,predicted_pair_count,pair_scores_available,raw_pair_score_path,raw_pair_score_sha256,raw_pair_score_sha256_after,raw_pair_score_unchanged,normalized_pair_score_path,normalized_pair_score_sha256,normalized_pair_score_size_bytes,score_shape,score_dtype,diagonal_nonzero_count_before,diagonal_min_before,diagonal_max_before,max_asymmetry_before,min_score_before,max_score_before,diagonal_nonzero_count_after,max_asymmetry_after,min_score_after,max_score_after,max_off_diagonal_absolute_change,warnings,failure_reason
legacy121_v1__17ra_21_hp_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,17RA_21_hp_nmr_A,rnafold,valid,21,7,8,false,,,,,,,,,,,,,,,,,,,,,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;raw_sequence_lowercase,
legacy121_v1__17ra_21_hp_nmr_a__legacy_gt__petfold__historical_legacy121_v1,17RA_21_hp_nmr_A,petfold,valid,21,7,8,false,,,,,,,,,,,,,,,,,,,,,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;petfold_historical_alignment_input_unknown;raw_sequence_lowercase,
legacy121_v1__17ra_21_hp_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,17RA_21_hp_nmr_A,trrosettarna2_native_ss,valid,21,7,8,true,/root/autodl-tmp/models/trRosettaRNA2/data/ss_native/17RA_21_hp_nmr_A/17RA_21_hp_nmr_A_ss_prob.npz,7d09dc479d07da170dd8915bcc2552f04339a37b687da9aaf8e6973d3c67be61,7d09dc479d07da170dd8915bcc2552f04339a37b687da9aaf8e6973d3c67be61,true,pair_scores/legacy121_v1__17ra_21_hp_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1.npz,ecde764ae3494ba217adbd96817c3503988da069ecafd942c3229a971160956b,1421,21x21,float32,21,9.851183904174832e-07,3.713415026140865e-06,0.0,9.763519983607694e-07,0.9999825954437256,0,0.0,0.0,0.9999825954437256,0.0,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;raw_sequence_lowercase;trrna2_historical_checkpoint_identity_unknown,
legacy121_v1__1a60_44_pseudknot_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,1A60_44_pseudknot_nmr_A,rnafold,valid,44,14,11,false,,,,,,,,,,,,,,,,,,,,,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;raw_sequence_lowercase,
legacy121_v1__1a60_44_pseudknot_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1A60_44_pseudknot_nmr_A,petfold,valid,44,14,11,false,,,,,,,,,,,,,,,,,,,,,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;petfold_historical_alignment_input_unknown;raw_sequence_lowercase,
legacy121_v1__1a60_44_pseudknot_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,1A60_44_pseudknot_nmr_A,trrosettarna2_native_ss,valid,44,14,15,true,/root/autodl-tmp/models/trRosettaRNA2/data/ss_native/1A60_44_pseudknot_nmr_A/1A60_44_pseudknot_nmr_A_ss_prob.npz,10141fc42f2e0ca42355bb8f558c4925e8f51cbcd7d3b732b565e366f1070990,10141fc42f2e0ca42355bb8f558c4925e8f51cbcd7d3b732b565e366f1070990,true,pair_scores/legacy121_v1__1a60_44_pseudknot_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1.npz,e90ef3f41d64b623de76a3a330cc41420957fed2efef3f38b28d3d2456ec344b,5612,44x44,float32,44,1.000197926259716e-06,4.932346200803295e-06,0.0,9.709095820653602e-07,0.9999701380729675,0,0.0,0.0,0.9999701380729675,0.0,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;raw_sequence_lowercase;trrna2_historical_checkpoint_identity_unknown,
legacy121_v1__1a9l_38_hpbulge_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,1A9L_38_hpbulge_nmr_A,rnafold,valid,38,14,14,false,,,,,,,,,,,,,,,,,,,,,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;raw_sequence_lowercase,
legacy121_v1__1a9l_38_hpbulge_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1A9L_38_hpbulge_nmr_A,petfold,valid,38,14,14,false,,,,,,,,,,,,,,,,,,,,,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;petfold_alias_applied;petfold_historical_alignment_input_unknown;raw_sequence_lowercase,
legacy121_v1__1a9l_38_hpbulge_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,1A9L_38_hpbulge_nmr_A,trrosettarna2_native_ss,valid,38,14,15,true,/root/autodl-tmp/models/trRosettaRNA2/data/ss_native/1A9L_38_hpbulge_nmr_A/1A9L_38_hpbulge_nmr_A_ss_prob.npz,11df6f7c4304ae845396dd8ae27040f94842bbff36b321b388071a869817a9b7,11df6f7c4304ae845396dd8ae27040f94842bbff36b321b388071a869817a9b7,true,pair_scores/legacy121_v1__1a9l_38_hpbulge_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1.npz,5d6ddbebea919d86f6dbad64e4f273afe23f0342a9f460ea17d3c614d1fd37a8,4203,38x38,float32,38,9.993254934670404e-07,2.2976932996243704e-06,0.0,9.700992222860805e-07,0.9999815821647644,0,0.0,0.0,0.9999815821647644,0.0,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;raw_sequence_lowercase;trrna2_historical_checkpoint_identity_unknown,
legacy121_v1__1b36_38_hp_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,1B36_38_hp_nmr_A,rnafold,valid,38,9,9,false,,,,,,,,,,,,,,,,,,,,,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;raw_sequence_lowercase,
legacy121_v1__1b36_38_hp_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1B36_38_hp_nmr_A,petfold,valid,38,9,11,false,,,,,,,,,,,,,,,,,,,,,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;petfold_historical_alignment_input_unknown;raw_sequence_lowercase,
legacy121_v1__1b36_38_hp_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1,1B36_38_hp_nmr_A,trrosettarna2_native_ss,valid,38,9,16,true,/root/autodl-tmp/models/trRosettaRNA2/data/ss_native/1B36_38_hp_nmr_A/1B36_38_hp_nmr_A_ss_prob.npz,344d7804b4aa04a3ce7c97f937e056b923ddf053eec2e95202ee0d96ef9e09b0,344d7804b4aa04a3ce7c97f937e056b923ddf053eec2e95202ee0d96ef9e09b0,true,pair_scores/legacy121_v1__1b36_38_hp_nmr_a__legacy_gt__trrosettarna2_native_ss__historical_legacy121_v1.npz,1b4d4af67fca95e7861b059e47599af7270c30ede11b80d2b768643259a6256e,4170,38x38,float32,38,1.0028261385741644e-06,1.8646071566763567e-06,0.0,9.64894979915698e-07,0.9999822378158569,0,0.0,0.0,0.9999822378158569,0.0,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;raw_sequence_lowercase;trrna2_historical_checkpoint_identity_unknown,
legacy121_v1__1bgz_23_hp_nmr_a__legacy_gt__rnafold__historical_legacy121_v1,1BGZ_23_hp_nmr_A,rnafold,valid,23,8,9,false,,,,,,,,,,,,,,,,,,,,,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;raw_sequence_lowercase,
legacy121_v1__1bgz_23_hp_nmr_a__legacy_gt__petfold__historical_legacy121_v1,1BGZ_23_hp_nmr_A,petfold,valid,23,8,9,false,,,,,,,,,,,,,,,,,,,,,family_split_metadata_unavailable;historical_model_version_unknown;historical_output_unknown_decoder_settings;petfold_historical_alignment_input_unknown;raw_sequence_lowercase,
