rna_id,sequence_length,historical_pair_count,reproduced_pair_count,exact_pair_set_match,historical_only_pair_count,rerun_only_pair_count,status,failure_reason,command,input_fasta_path,input_fasta_sha256,raw_stdout_path,raw_stdout_sha256,stderr_path,stderr_sha256,petfoldrr_path,petfoldrr_sha256,runtime_seconds,exit_code,output_structure
17RA_21_hp_nmr_A,21,8,8,True,0,0,exact,,PETFOLDBIN=/root/autodl-tmp/PETfold/bin /root/autodl-tmp/PETfold/bin/PETfold -f /root/autodl-tmp/data/sequences/17RA_21_hp_nmr_A.fasta -r /root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/17RA_21_hp_nmr_A.petfoldrr,/root/autodl-tmp/data/sequences/17RA_21_hp_nmr_A.fasta,4048021e81f001ba58afdec4a6320feb4edd0d0a5ef4a03754b82e632b1065d9,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/17RA_21_hp_nmr_A.stdout.txt,b1fb17a0e214be0779149770e58da3f8fbd3574177d9b014a238f5ff1ce755d5,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_logs/17RA_21_hp_nmr_A.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/17RA_21_hp_nmr_A.petfoldrr,1bc9a68a1a9fd72580924bdbd58bbb69ec85c1822216be32048b7b6175b3bea9,0.005594,0,((((((.((....))))))))
1A60_44_pseudknot_nmr_A,44,11,11,True,0,0,exact,,PETFOLDBIN=/root/autodl-tmp/PETfold/bin /root/autodl-tmp/PETfold/bin/PETfold -f /root/autodl-tmp/data/sequences/1A60_44_pseudknot_nmr_A.fasta -r /root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1A60_44_pseudknot_nmr_A.petfoldrr,/root/autodl-tmp/data/sequences/1A60_44_pseudknot_nmr_A.fasta,c0d6f8d099767e91017e1a420a54ab2c90131bccac5112296b3da898cf797a23,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1A60_44_pseudknot_nmr_A.stdout.txt,45d72960a36c31f0448aee25f043acfc08cd8b83ab0e8bc16da24c7317e43dbd,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_logs/1A60_44_pseudknot_nmr_A.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1A60_44_pseudknot_nmr_A.petfoldrr,51084a8057a6247e9d04e852887106bdb2a8a23ddf53cf5c9c62ee4878737732,0.010553,0,(((((.......)))))......((((((......))))))...
1A9L_38_hpbulge_nmr_A,38,14,14,True,0,0,exact,,PETFOLDBIN=/root/autodl-tmp/PETfold/bin /root/autodl-tmp/PETfold/bin/PETfold -f /root/autodl-tmp/data/sequences/1A9L_38_hpbulge_nmr_A.fasta -r /root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1A9L_38_hpbulge_nmr_A.petfoldrr,/root/autodl-tmp/data/sequences/1A9L_38_hpbulge_nmr_A.fasta,90072f45f286ae65ed379a0ec80fb28fa9e7f23c3b297608fb118c2283a54cd1,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1A9L_38_hpbulge_nmr_A.stdout.txt,d9c696314ec0475c75d64a18a05bdc4f9b9d96f095268ea9bc9592889ec85dfc,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_logs/1A9L_38_hpbulge_nmr_A.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1A9L_38_hpbulge_nmr_A.petfoldrr,14b6993cdd887532a7f217e46845195eeea01d984a99622084d80284be95b451,0.007945,0,((((((((((...((((....))))))))...))))))
1B36_38_hp_nmr_A,38,11,11,True,0,0,exact,,PETFOLDBIN=/root/autodl-tmp/PETfold/bin /root/autodl-tmp/PETfold/bin/PETfold -f /root/autodl-tmp/data/sequences/1B36_38_hp_nmr_A.fasta -r /root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1B36_38_hp_nmr_A.petfoldrr,/root/autodl-tmp/data/sequences/1B36_38_hp_nmr_A.fasta,0ddd4d1f919e2ecd91e560eccc648477992d1ae644927fb582299996c9a46510,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1B36_38_hp_nmr_A.stdout.txt,7cfc5e02a8f6b5f991a296658a678a474fe66f67fd70c3acfa8cfb69f788129f,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_logs/1B36_38_hp_nmr_A.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1B36_38_hp_nmr_A.petfoldrr,f6a92e352da5675e48c0c4c39fa8725ad37568ae16cd39f8fb3f749eade5d871,0.01009,0,(((((.......((((....))))((.....)))))))
1BGZ_23_hp_nmr_A,23,9,9,True,0,0,exact,,PETFOLDBIN=/root/autodl-tmp/PETfold/bin /root/autodl-tmp/PETfold/bin/PETfold -f /root/autodl-tmp/data/sequences/1BGZ_23_hp_nmr_A.fasta -r /root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1BGZ_23_hp_nmr_A.petfoldrr,/root/autodl-tmp/data/sequences/1BGZ_23_hp_nmr_A.fasta,7182c7516b1c561572a132ab417f7d9c6ebcd555abd0823899ece153f7a0f377,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1BGZ_23_hp_nmr_A.stdout.txt,efdde9de93ec5dcc2163b6afcbe5ccf1bf79e760617c9622317094c6795d2652,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_logs/1BGZ_23_hp_nmr_A.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1BGZ_23_hp_nmr_A.petfoldrr,963a55d6c1aa1d6d5c4f9f987b696b82de002b5b25eceb969125db25083d0a3f,0.005202,0,(((((((((...))))..)))))
1BVJ_23_hp_nmr_A,23,8,8,True,0,0,exact,,PETFOLDBIN=/root/autodl-tmp/PETfold/bin /root/autodl-tmp/PETfold/bin/PETfold -f /root/autodl-tmp/data/sequences/1BVJ_23_hp_nmr_A.fasta -r /root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1BVJ_23_hp_nmr_A.petfoldrr,/root/autodl-tmp/data/sequences/1BVJ_23_hp_nmr_A.fasta,c51942c294353ada58705f5002b695cbe69269d45e09fdf047a666ac84b47bbc,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1BVJ_23_hp_nmr_A.stdout.txt,66cc9445d28594bf754130988e346c110a33a088a442eadc8554b04d056cbc6a,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_logs/1BVJ_23_hp_nmr_A.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1BVJ_23_hp_nmr_A.petfoldrr,c38c790aeabeb6b5dd8fa078657969e06d0bafda23f80135ac02c58af23fe33e,0.005513,0,(((((.(((......))))))))
1E4P_24_hpbulge_nmr_A,24,7,7,True,0,0,exact,,PETFOLDBIN=/root/autodl-tmp/PETfold/bin /root/autodl-tmp/PETfold/bin/PETfold -f /root/autodl-tmp/data/sequences/1E4P_24_hpbulge_nmr_A.fasta -r /root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1E4P_24_hpbulge_nmr_A.petfoldrr,/root/autodl-tmp/data/sequences/1E4P_24_hpbulge_nmr_A.fasta,0236ad4fbb649d89a3250297ceef2067d59684909643b89c6e534b32eea2ad2a,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1E4P_24_hpbulge_nmr_A.stdout.txt,7a93b2b2df813467135abacfd8d54729a2f93b6d4b464b70513103cf14087fb8,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_logs/1E4P_24_hpbulge_nmr_A.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1E4P_24_hpbulge_nmr_A.petfoldrr,b8f1728ec3d720fb99bdc0c8a9bf2574bba7bcf71a9ac353ad2f2daaee33054e,0.005338,0,((((...(((....)))...))))
1E95_36_pseudoknot_nmr_A,36,6,6,True,0,0,exact,,PETFOLDBIN=/root/autodl-tmp/PETfold/bin /root/autodl-tmp/PETfold/bin/PETfold -f /root/autodl-tmp/data/sequences/1E95_36_pseudoknot_nmr_A.fasta -r /root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1E95_36_pseudoknot_nmr_A.petfoldrr,/root/autodl-tmp/data/sequences/1E95_36_pseudoknot_nmr_A.fasta,59c0225f4e320ce89463fcc687a075a67075fc41b4a7d3dceb288a156ede09dc,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1E95_36_pseudoknot_nmr_A.stdout.txt,a3ccd5079f467270916b8dd3d0fd83c66437a4b74b23f5002fd56b582e4f6bce,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_logs/1E95_36_pseudoknot_nmr_A.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1E95_36_pseudoknot_nmr_A.petfoldrr,74e60d78079017b5d8df237c6105ce53255f78b79e5673ca7d345d765c714d34,0.007064,0,((((((.......)))))).................
1F9L_22_hp_nmr_A,22,7,7,True,0,0,exact,,PETFOLDBIN=/root/autodl-tmp/PETfold/bin /root/autodl-tmp/PETfold/bin/PETfold -f /root/autodl-tmp/data/sequences/1F9L_22_hp_nmr_A.fasta -r /root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1F9L_22_hp_nmr_A.petfoldrr,/root/autodl-tmp/data/sequences/1F9L_22_hp_nmr_A.fasta,f675d8234050bff411b43ca81480136c05ebcf7899ce51172a99a8d1eafd53f4,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1F9L_22_hp_nmr_A.stdout.txt,f296fdc5765bbeeb71bd6a3e77271a08c44757e98669ea56fb9a44c1e6e50ec5,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_logs/1F9L_22_hp_nmr_A.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1F9L_22_hp_nmr_A.petfoldrr,774e6a78197017195d3e534f3ad313f18b9375fcaaf1a1f9f64f075e59378107,0.004867,0,((((..(((....)))..))))
1HLX_20_hp_nmr_A,20,8,8,True,0,0,exact,,PETFOLDBIN=/root/autodl-tmp/PETfold/bin /root/autodl-tmp/PETfold/bin/PETfold -f /root/autodl-tmp/data/sequences/1HLX_20_hp_nmr_A.fasta -r /root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1HLX_20_hp_nmr_A.petfoldrr,/root/autodl-tmp/data/sequences/1HLX_20_hp_nmr_A.fasta,e59c8514a64cf24d309cc72474cf68d23a1d4cdee98c7f2e1fcd1e4c97e40908,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1HLX_20_hp_nmr_A.stdout.txt,c96e589168ac50977f21c17b83b915aaa93ae116f8ecc87355ced0293fa40827,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_logs/1HLX_20_hp_nmr_A.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1HLX_20_hp_nmr_A.petfoldrr,4a4ed44f65673c258944dd46668c84ca63180413039e631a738350732cf99338,0.004596,0,((((((((....))))))))
1IKD_22_hp_nmr_A,22,7,7,True,0,0,exact,,PETFOLDBIN=/root/autodl-tmp/PETfold/bin /root/autodl-tmp/PETfold/bin/PETfold -f /root/autodl-tmp/data/sequences/1IKD_22_hp_nmr_A.fasta -r /root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1IKD_22_hp_nmr_A.petfoldrr,/root/autodl-tmp/data/sequences/1IKD_22_hp_nmr_A.fasta,81923403f91a39feef4c07644da4b422d7efbc7fb075f4f7c995ea0e32f4797e,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1IKD_22_hp_nmr_A.stdout.txt,7f7c872cf9d1c40ef189e0f57b4f1b30e2c3eb594f6449503f67084f46680a72,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_logs/1IKD_22_hp_nmr_A.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1IKD_22_hp_nmr_A.petfoldrr,30d066299075928178f9d04925840df72f638fe011342bb0fdbd1c2cbe0f8736,0.004814,0,(((((((....)))))))....
1JUR_22_hp_nmr_A,22,8,8,True,0,0,exact,,PETFOLDBIN=/root/autodl-tmp/PETfold/bin /root/autodl-tmp/PETfold/bin/PETfold -f /root/autodl-tmp/data/sequences/1JUR_22_hp_nmr_A.fasta -r /root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1JUR_22_hp_nmr_A.petfoldrr,/root/autodl-tmp/data/sequences/1JUR_22_hp_nmr_A.fasta,f2f004bda077fca6dd05c4f683d2738f32c1db8ef4817063cd9bb9dfee5186a7,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1JUR_22_hp_nmr_A.stdout.txt,d96296ec0f64eb378b1722162a356c1fec02b20d0438d04d0a68aa02ebcce7ff,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_logs/1JUR_22_hp_nmr_A.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1JUR_22_hp_nmr_A.petfoldrr,791483e5d5b97fb2205d140f2e69ab4b818d21b56a9acd80d35bee14507d0e8f,0.005961,0,((((((((....)))))..)))
1K2G_22_dumbbell_nmr_A,22,3,3,True,0,0,exact,,PETFOLDBIN=/root/autodl-tmp/PETfold/bin /root/autodl-tmp/PETfold/bin/PETfold -f /root/autodl-tmp/data/sequences/1K2G_22_dumbbell_nmr_A.fasta -r /root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1K2G_22_dumbbell_nmr_A.petfoldrr,/root/autodl-tmp/data/sequences/1K2G_22_dumbbell_nmr_A.fasta,2917cac85a924a205666ecd664f449446862c32a12fdd91f91437c13491a71e8,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1K2G_22_dumbbell_nmr_A.stdout.txt,2e2c1307263cba9089f47f7fa2522ac6b28dc32a4d562aba4ad4e5c7aa5db66b,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_logs/1K2G_22_dumbbell_nmr_A.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1K2G_22_dumbbell_nmr_A.petfoldrr,f4ec93b44be2c7be0fb848d0493dceef70844d0e1c01c542a5ba3a87562a01e8,0.004977,0,..(((....)))..........
1K6H_22_hp_nmr_A,22,9,9,True,0,0,exact,,PETFOLDBIN=/root/autodl-tmp/PETfold/bin /root/autodl-tmp/PETfold/bin/PETfold -f /root/autodl-tmp/data/sequences/1K6H_22_hp_nmr_A.fasta -r /root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1K6H_22_hp_nmr_A.petfoldrr,/root/autodl-tmp/data/sequences/1K6H_22_hp_nmr_A.fasta,0174ddeb89ba9bdaf8fff2bd8fab8ecd161b37c1c2e502cb77cd1c959cea9ecb,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1K6H_22_hp_nmr_A.stdout.txt,fc67d88a123548244645b6c9052fe24da87d54a036c3181ffe818480e40b816d,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_logs/1K6H_22_hp_nmr_A.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1K6H_22_hp_nmr_A.petfoldrr,8498be1f700b1d3ff73d12129375920a211cd7144f055a940fa9689897fae3bb,0.005316,0,(((((((((....)))))))))
1LDZ_30_hpbulge_nmr_A,30,10,10,True,0,0,exact,,PETFOLDBIN=/root/autodl-tmp/PETfold/bin /root/autodl-tmp/PETfold/bin/PETfold -f /root/autodl-tmp/data/sequences/1LDZ_30_hpbulge_nmr_A.fasta -r /root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1LDZ_30_hpbulge_nmr_A.petfoldrr,/root/autodl-tmp/data/sequences/1LDZ_30_hpbulge_nmr_A.fasta,23258cd746bb170bfa65da2e13eb3ca7364cea4edae19c148346ae2fc064e282,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1LDZ_30_hpbulge_nmr_A.stdout.txt,9dac67acf3ab2aabea5c3426c923c54394d76d7df2641d201fbb16be6975b049,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_logs/1LDZ_30_hpbulge_nmr_A.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1LDZ_30_hpbulge_nmr_A.petfoldrr,38a8034cc1e9ab722a9f14e8c891474c9ed92754a6c59842bec82354328c095a,0.006097,0,(((((....(((((....)))))..)))))
1M82_25_hp_nmr_A,25,10,10,True,0,0,exact,,PETFOLDBIN=/root/autodl-tmp/PETfold/bin /root/autodl-tmp/PETfold/bin/PETfold -f /root/autodl-tmp/data/sequences/1M82_25_hp_nmr_A.fasta -r /root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1M82_25_hp_nmr_A.petfoldrr,/root/autodl-tmp/data/sequences/1M82_25_hp_nmr_A.fasta,489294746c5758fde495c12fdf86f6f6c72713c15df5967acfa91f420b35eda2,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1M82_25_hp_nmr_A.stdout.txt,1e6f20401a2dd393fc56e48a0dcb1d5fc2b9f7411ef773f61e62914d4b7de0a7,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_logs/1M82_25_hp_nmr_A.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1M82_25_hp_nmr_A.petfoldrr,56b5dc804ec7ca78b0cd1f2ce9abd9fb5772953cc8a4d1492fd4268a16bf8d22,0.005473,0,((((((((((....))).)))))))
1MT4_24_hp_nmr_A,24,8,8,True,0,0,exact,,PETFOLDBIN=/root/autodl-tmp/PETfold/bin /root/autodl-tmp/PETfold/bin/PETfold -f /root/autodl-tmp/data/sequences/1MT4_24_hp_nmr_A.fasta -r /root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1MT4_24_hp_nmr_A.petfoldrr,/root/autodl-tmp/data/sequences/1MT4_24_hp_nmr_A.fasta,a827a2a0219178713324f8e4aac3b6959d586a43c408eb276e9b5c3e1e223aa6,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1MT4_24_hp_nmr_A.stdout.txt,89869cfb2dadec50a2b7071d6ae16c9b98d852d8fb32b4c2d3155a3ae78095e9,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_logs/1MT4_24_hp_nmr_A.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1MT4_24_hp_nmr_A.petfoldrr,7840969bab6c6eee085777f8ec556821ff141258d9a8364cfa33ab3e5c1ec390,0.005104,0,((((((((........))))))))
1P5M_55_hpbulge_nmr_A,55,18,18,True,0,0,exact,,PETFOLDBIN=/root/autodl-tmp/PETfold/bin /root/autodl-tmp/PETfold/bin/PETfold -f /root/autodl-tmp/data/sequences/1P5M_55_hpbulge_nmr_A.fasta -r /root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1P5M_55_hpbulge_nmr_A.petfoldrr,/root/autodl-tmp/data/sequences/1P5M_55_hpbulge_nmr_A.fasta,a4c6f1920690787106d23c2da266a58f6e4bd50ed2a3bc7fc10a657d745b8572,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1P5M_55_hpbulge_nmr_A.stdout.txt,0b859d455a5ee9e05d51d237c80a55bb7c8b2b175c70925c6b9cfacf48d50acd,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_logs/1P5M_55_hpbulge_nmr_A.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1P5M_55_hpbulge_nmr_A.petfoldrr,69c29ade69272631d8bb19c39629714d148a0dc80727a07ab4a8f527a7a882be,0.016065,0,(((((.((((.....((((...(((.((....)).)))....)))))))))))))
1P5O_77_hpbulge_nmr_A,77,24,24,True,0,0,exact,,PETFOLDBIN=/root/autodl-tmp/PETfold/bin /root/autodl-tmp/PETfold/bin/PETfold -f /root/autodl-tmp/data/sequences/1P5O_77_hpbulge_nmr_A.fasta -r /root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1P5O_77_hpbulge_nmr_A.petfoldrr,/root/autodl-tmp/data/sequences/1P5O_77_hpbulge_nmr_A.fasta,3eb5e9944a271b5d52bebab77f176c6775719f914445d4528b8be4a9a9b36c10,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1P5O_77_hpbulge_nmr_A.stdout.txt,821a5ea0c7eb246f06a84d1888c096a37d981bf27c7e5c1fd7ee321e4872c605,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_logs/1P5O_77_hpbulge_nmr_A.stderr.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,/root/autodl-tmp/rna-ccfa/results/petfold_reproduction/legacy121_raw/1P5O_77_hpbulge_nmr_A.petfoldrr,b436dab1b31c7e91b2d95fd0324d4be93d0aae2a125c0a5dd614e40b6dc38f25,0.034926,0,(((((.((((.....((((...(((.((...((((((.......))))))....)).)))....)))))))))))))
