manifest_id,rna_id,sequence_length,evidence_channel,density_percent,evidence_seed,noise_level_percent,eligible_universe_size,selected_item_count,minimum_one_applied,source_gt_sha256,manifest_payload_sha256
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_00__seed_101__noise_00,17RA_21_hp_nmr_A,21,POSITIVE_PAIR_EVIDENCE,0,101,0,7,0,0,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,6fe1559c5cf8ac875368aca7dbf50c841469584f09e8a659170e0cbcf978381e
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_00__seed_103__noise_00,17RA_21_hp_nmr_A,21,POSITIVE_PAIR_EVIDENCE,0,103,0,7,0,0,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,243d6b590187e1bb25df01f0cee5ea48b7592f2596b0b572da3002d343e6209a
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_00__seed_107__noise_00,17RA_21_hp_nmr_A,21,POSITIVE_PAIR_EVIDENCE,0,107,0,7,0,0,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,006112ea648ff7cc39d662c90f3f716a72c81c5846aad839b3d9b3fa74879111
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_00__seed_109__noise_00,17RA_21_hp_nmr_A,21,POSITIVE_PAIR_EVIDENCE,0,109,0,7,0,0,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,3103eec2ad1297bffdc6bea109f0e48fc18367bce6e963c1fc2b26eca7c41732
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_00__seed_113__noise_00,17RA_21_hp_nmr_A,21,POSITIVE_PAIR_EVIDENCE,0,113,0,7,0,0,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,015cd8ad5ee64e97f931b5422b26e96a97872721d464680c72cfa3a09d4af62d
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_01__seed_101__noise_00,17RA_21_hp_nmr_A,21,POSITIVE_PAIR_EVIDENCE,1,101,0,7,1,1,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,1305e74cd7eec8d3930561ba43fda69c30d0224ca4755e0f2bcf27ca522a153f
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_01__seed_103__noise_00,17RA_21_hp_nmr_A,21,POSITIVE_PAIR_EVIDENCE,1,103,0,7,1,1,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,dcb10a2193ac9efd8045a1a864dcb2b313a49079147caa122339019a1478777b
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_01__seed_107__noise_00,17RA_21_hp_nmr_A,21,POSITIVE_PAIR_EVIDENCE,1,107,0,7,1,1,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,421f87b090174b0b644b4d716002e50b58a85d246c6b9816a6a4fd7f97d2cc98
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_01__seed_109__noise_00,17RA_21_hp_nmr_A,21,POSITIVE_PAIR_EVIDENCE,1,109,0,7,1,1,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,b2c1fe694b94f07c4efb1984a8fc5184a281c1929cfb2497184c90b880dfdf02
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_01__seed_113__noise_00,17RA_21_hp_nmr_A,21,POSITIVE_PAIR_EVIDENCE,1,113,0,7,1,1,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,730cb6f78b6d04b25c8797f9cd048a7a78ae6b4d606388c953b78edeb7a4f335
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_05__seed_101__noise_00,17RA_21_hp_nmr_A,21,POSITIVE_PAIR_EVIDENCE,5,101,0,7,1,1,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,52c8d5c4550d42a4594ea4623dcb04f41f45d65b651633209644b3290e7f2b7d
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_05__seed_103__noise_00,17RA_21_hp_nmr_A,21,POSITIVE_PAIR_EVIDENCE,5,103,0,7,1,1,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,377141de618e981b2f5ae7a7329289f2e939f6b551996599a44a7fd422fb5520
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_05__seed_107__noise_00,17RA_21_hp_nmr_A,21,POSITIVE_PAIR_EVIDENCE,5,107,0,7,1,1,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,5a6dd9be47a3859dba219753a3204bdf8945df5a394e4226df221e64496c2fc7
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_05__seed_109__noise_00,17RA_21_hp_nmr_A,21,POSITIVE_PAIR_EVIDENCE,5,109,0,7,1,1,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,a78ddfae05459d5bdef4d3ee20e15af6d87ba371b1f3d1051a3ac93beac658d7
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_05__seed_113__noise_00,17RA_21_hp_nmr_A,21,POSITIVE_PAIR_EVIDENCE,5,113,0,7,1,1,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,666ce5612a1f84f5344a9794de836495a757d3e7e44b42b9094360caf483bdde
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_10__seed_101__noise_00,17RA_21_hp_nmr_A,21,POSITIVE_PAIR_EVIDENCE,10,101,0,7,1,0,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,b0c3087837cba7e89f89fc5480ccfb2a2a1450aeadbaf98f29ad6cdd4f6fda49
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_10__seed_103__noise_00,17RA_21_hp_nmr_A,21,POSITIVE_PAIR_EVIDENCE,10,103,0,7,1,0,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,0ced3834bd87d6ab4e7be0992f6b98ab43cfc381f357cd73818051971f361c2e
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_10__seed_107__noise_00,17RA_21_hp_nmr_A,21,POSITIVE_PAIR_EVIDENCE,10,107,0,7,1,0,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,6df29e0ccf08935c5bd0b9f2184789ee350d8316f6b748d8874a142093c410df
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_10__seed_109__noise_00,17RA_21_hp_nmr_A,21,POSITIVE_PAIR_EVIDENCE,10,109,0,7,1,0,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,4314606d51510a7fb1b82e9c0d1245a10521c1190ebbd77ec187e92ca9cff173
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_10__seed_113__noise_00,17RA_21_hp_nmr_A,21,POSITIVE_PAIR_EVIDENCE,10,113,0,7,1,0,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,b72aeaa88f02f672eda1fb3f3967711c6e1fa653ea266d6dbd4d935907a5dc67
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_20__seed_101__noise_00,17RA_21_hp_nmr_A,21,POSITIVE_PAIR_EVIDENCE,20,101,0,7,1,0,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,a3ebe5f5a6f10e70d1b30b2138d58fd217bf6053165c615d53a9b1262ced4acc
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_20__seed_103__noise_00,17RA_21_hp_nmr_A,21,POSITIVE_PAIR_EVIDENCE,20,103,0,7,1,0,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,3c64f09d9b3f22bb2e7d42a9548e038b4adced60eed09b39cd70e6113f2dad46
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_20__seed_107__noise_00,17RA_21_hp_nmr_A,21,POSITIVE_PAIR_EVIDENCE,20,107,0,7,1,0,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,9ee206ecfdbd77e2a5989ac5988f59cad599abc74dc308dacad421c9e6e1b70d
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_20__seed_109__noise_00,17RA_21_hp_nmr_A,21,POSITIVE_PAIR_EVIDENCE,20,109,0,7,1,0,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,ecc4cc070743a25b759ee45a17b4c530e9b5baa2f4c79c771a13913446fae9ad
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_20__seed_113__noise_00,17RA_21_hp_nmr_A,21,POSITIVE_PAIR_EVIDENCE,20,113,0,7,1,0,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,7c705887db6b5abd7e7aa3827d32a09308345d0b86250a19389cca19b3698653
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_50__seed_101__noise_00,17RA_21_hp_nmr_A,21,POSITIVE_PAIR_EVIDENCE,50,101,0,7,4,0,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,fb19f5ee7a4e5055579d3186c1f018c66d6f602c212083ab7852900203b0d5be
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_50__seed_103__noise_00,17RA_21_hp_nmr_A,21,POSITIVE_PAIR_EVIDENCE,50,103,0,7,4,0,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,6360592eb45d14587a949abbbe9ffcefe6aac4d71b336ae649656cad01ea6d49
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_50__seed_107__noise_00,17RA_21_hp_nmr_A,21,POSITIVE_PAIR_EVIDENCE,50,107,0,7,4,0,3a4a530831ced1ee416ee71e293b4e26ba82da93f0af25883890afd90d231a25,8055b1b9d72608f59cd25e5b084908b14c9b4ecfc45ddc9b93bb53d9c4a6d263
