dataset_version,rna_id,sequence_path,gt_path,rnafold_prediction_path,petfold_prediction_path,trrna2_prediction_path,trrna2_pair_score_path,gt_mapping_key,petfold_source_id,petfold_alias_applied,validation_status
Legacy121_v1,17RA_21_hp_nmr_A,/root/autodl-tmp/data/sequences/17RA_21_hp_nmr_A.fasta,/root/autodl-tmp/data/ss/gt/17RA_21_hp_nmr_matrix.db,/root/autodl-tmp/data/ss/rnafold/17RA_21_hp_nmr_A.db,/root/autodl-tmp/data/ss/petfold/17RA_21_hp_nmr.db,/root/autodl-tmp/models/trRosettaRNA2/data/ss_native/17RA_21_hp_nmr_A/17RA_21_hp_nmr_A.dbn,/root/autodl-tmp/models/trRosettaRNA2/data/ss_native/17RA_21_hp_nmr_A/17RA_21_hp_nmr_A_ss_prob.npz,17RA_21_hp_nmr,17RA_21_hp_nmr,false,valid
Legacy121_v1,1A60_44_pseudknot_nmr_A,/root/autodl-tmp/data/sequences/1A60_44_pseudknot_nmr_A.fasta,/root/autodl-tmp/data/ss/gt/1A60_44_pseudknot_nmr_matrix.db,/root/autodl-tmp/data/ss/rnafold/1A60_44_pseudknot_nmr_A.db,/root/autodl-tmp/data/ss/petfold/1A60_44_pseudknot_nmr.db,/root/autodl-tmp/models/trRosettaRNA2/data/ss_native/1A60_44_pseudknot_nmr_A/1A60_44_pseudknot_nmr_A.dbn,/root/autodl-tmp/models/trRosettaRNA2/data/ss_native/1A60_44_pseudknot_nmr_A/1A60_44_pseudknot_nmr_A_ss_prob.npz,1A60_44_pseudknot_nmr,1A60_44_pseudknot_nmr,false,valid
Legacy121_v1,1A9L_38_hpbulge_nmr_A,/root/autodl-tmp/data/sequences/1A9L_38_hpbulge_nmr_A.fasta,/root/autodl-tmp/data/ss/gt/1A9L_38_hpbulge_nmr_matrix.db,/root/autodl-tmp/data/ss/rnafold/1A9L_38_hpbulge_nmr_A.db,/root/autodl-tmp/data/ss/petfold/1A9L.db,/root/autodl-tmp/models/trRosettaRNA2/data/ss_native/1A9L_38_hpbulge_nmr_A/1A9L_38_hpbulge_nmr_A.dbn,/root/autodl-tmp/models/trRosettaRNA2/data/ss_native/1A9L_38_hpbulge_nmr_A/1A9L_38_hpbulge_nmr_A_ss_prob.npz,1A9L_38_hpbulge_nmr,1A9L,true,valid
Legacy121_v1,1B36_38_hp_nmr_A,/root/autodl-tmp/data/sequences/1B36_38_hp_nmr_A.fasta,/root/autodl-tmp/data/ss/gt/1B36_38_hp_nmr_matrix.db,/root/autodl-tmp/data/ss/rnafold/1B36_38_hp_nmr_A.db,/root/autodl-tmp/data/ss/petfold/1B36_38_hp_nmr.db,/root/autodl-tmp/models/trRosettaRNA2/data/ss_native/1B36_38_hp_nmr_A/1B36_38_hp_nmr_A.dbn,/root/autodl-tmp/models/trRosettaRNA2/data/ss_native/1B36_38_hp_nmr_A/1B36_38_hp_nmr_A_ss_prob.npz,1B36_38_hp_nmr,1B36_38_hp_nmr,false,valid
Legacy121_v1,1BGZ_23_hp_nmr_A,/root/autodl-tmp/data/sequences/1BGZ_23_hp_nmr_A.fasta,/root/autodl-tmp/data/ss/gt/1BGZ_23_hp_nmr_matrix.db,/root/autodl-tmp/data/ss/rnafold/1BGZ_23_hp_nmr_A.db,/root/autodl-tmp/data/ss/petfold/1BGZ_23_hp_nmr.db,/root/autodl-tmp/models/trRosettaRNA2/data/ss_native/1BGZ_23_hp_nmr_A/1BGZ_23_hp_nmr_A.dbn,/root/autodl-tmp/models/trRosettaRNA2/data/ss_native/1BGZ_23_hp_nmr_A/1BGZ_23_hp_nmr_A_ss_prob.npz,1BGZ_23_hp_nmr,1BGZ_23_hp_nmr,false,valid
Legacy121_v1,1BVJ_23_hp_nmr_A,/root/autodl-tmp/data/sequences/1BVJ_23_hp_nmr_A.fasta,/root/autodl-tmp/data/ss/gt/1BVJ_23_hp_nmr_matrix.db,/root/autodl-tmp/data/ss/rnafold/1BVJ_23_hp_nmr_A.db,/root/autodl-tmp/data/ss/petfold/1BVJ_23_hp_nmr.db,/root/autodl-tmp/models/trRosettaRNA2/data/ss_native/1BVJ_23_hp_nmr_A/1BVJ_23_hp_nmr_A.dbn,/root/autodl-tmp/models/trRosettaRNA2/data/ss_native/1BVJ_23_hp_nmr_A/1BVJ_23_hp_nmr_A_ss_prob.npz,1BVJ_23_hp_nmr,1BVJ_23_hp_nmr,false,valid
Legacy121_v1,1E4P_24_hpbulge_nmr_A,/root/autodl-tmp/data/sequences/1E4P_24_hpbulge_nmr_A.fasta,/root/autodl-tmp/data/ss/gt/1E4P_24_hpbulge_nmr_matrix.db,/root/autodl-tmp/data/ss/rnafold/1E4P_24_hpbulge_nmr_A.db,/root/autodl-tmp/data/ss/petfold/1E4P_24_hpbulge_nmr.db,/root/autodl-tmp/models/trRosettaRNA2/data/ss_native/1E4P_24_hpbulge_nmr_A/1E4P_24_hpbulge_nmr_A.dbn,/root/autodl-tmp/models/trRosettaRNA2/data/ss_native/1E4P_24_hpbulge_nmr_A/1E4P_24_hpbulge_nmr_A_ss_prob.npz,1E4P_24_hpbulge_nmr,1E4P_24_hpbulge_nmr,false,valid
Legacy121_v1,1E95_36_pseudoknot_nmr_A,/root/autodl-tmp/data/sequences/1E95_36_pseudoknot_nmr_A.fasta,/root/autodl-tmp/data/ss/gt/1E95_36_pseudoknot_nmr_matrix.db,/root/autodl-tmp/data/ss/rnafold/1E95_36_pseudoknot_nmr_A.db,/root/autodl-tmp/data/ss/petfold/1E95_36_pseudoknot_nmr.db,/root/autodl-tmp/models/trRosettaRNA2/data/ss_native/1E95_36_pseudoknot_nmr_A/1E95_36_pseudoknot_nmr_A.dbn,/root/autodl-tmp/models/trRosettaRNA2/data/ss_native/1E95_36_pseudoknot_nmr_A/1E95_36_pseudoknot_nmr_A_ss_prob.npz,1E95_36_pseudoknot_nmr,1E95_36_pseudoknot_nmr,false,valid
Legacy121_v1,1F9L_22_hp_nmr_A,/root/autodl-tmp/data/sequences/1F9L_22_hp_nmr_A.fasta,/root/autodl-tmp/data/ss/gt/1F9L_22_hp_nmr_matrix.db,/root/autodl-tmp/data/ss/rnafold/1F9L_22_hp_nmr_A.db,/root/autodl-tmp/data/ss/petfold/1F9L_22_hp_nmr.db,/root/autodl-tmp/models/trRosettaRNA2/data/ss_native/1F9L_22_hp_nmr_A/1F9L_22_hp_nmr_A.dbn,/root/autodl-tmp/models/trRosettaRNA2/data/ss_native/1F9L_22_hp_nmr_A/1F9L_22_hp_nmr_A_ss_prob.npz,1F9L_22_hp_nmr,1F9L_22_hp_nmr,false,valid
Legacy121_v1,1HLX_20_hp_nmr_A,/root/autodl-tmp/data/sequences/1HLX_20_hp_nmr_A.fasta,/root/autodl-tmp/data/ss/gt/1HLX_20_hp_nmr_matrix.db,/root/autodl-tmp/data/ss/rnafold/1HLX_20_hp_nmr_A.db,/root/autodl-tmp/data/ss/petfold/1HLX_20_hp_nmr.db,/root/autodl-tmp/models/trRosettaRNA2/data/ss_native/1HLX_20_hp_nmr_A/1HLX_20_hp_nmr_A.dbn,/root/autodl-tmp/models/trRosettaRNA2/data/ss_native/1HLX_20_hp_nmr_A/1HLX_20_hp_nmr_A_ss_prob.npz,1HLX_20_hp_nmr,1HLX_20_hp_nmr,false,valid
Legacy121_v1,1IKD_22_hp_nmr_A,/root/autodl-tmp/data/sequences/1IKD_22_hp_nmr_A.fasta,/root/autodl-tmp/data/ss/gt/1IKD_22_hp_nmr_matrix.db,/root/autodl-tmp/data/ss/rnafold/1IKD_22_hp_nmr_A.db,/root/autodl-tmp/data/ss/petfold/1IKD_22_hp_nmr.db,/root/autodl-tmp/models/trRosettaRNA2/data/ss_native/1IKD_22_hp_nmr_A/1IKD_22_hp_nmr_A.dbn,/root/autodl-tmp/models/trRosettaRNA2/data/ss_native/1IKD_22_hp_nmr_A/1IKD_22_hp_nmr_A_ss_prob.npz,1IKD_22_hp_nmr,1IKD_22_hp_nmr,false,valid
Legacy121_v1,1JUR_22_hp_nmr_A,/root/autodl-tmp/data/sequences/1JUR_22_hp_nmr_A.fasta,/root/autodl-tmp/data/ss/gt/1JUR_22_hp_nmr_matrix.db,/root/autodl-tmp/data/ss/rnafold/1JUR_22_hp_nmr_A.db,/root/autodl-tmp/data/ss/petfold/1JUR_22_hp_nmr.db,/root/autodl-tmp/models/trRosettaRNA2/data/ss_native/1JUR_22_hp_nmr_A/1JUR_22_hp_nmr_A.dbn,/root/autodl-tmp/models/trRosettaRNA2/data/ss_native/1JUR_22_hp_nmr_A/1JUR_22_hp_nmr_A_ss_prob.npz,1JUR_22_hp_nmr,1JUR_22_hp_nmr,false,valid
