rna_id,sequence_length,gt_pair_count,unpaired_nucleotide_count,pair_universe_usable,unpaired_universe_usable
17RA_21_hp_nmr_A,21,7,7,1,1
1A60_44_pseudknot_nmr_A,44,14,16,1,1
1A9L_38_hpbulge_nmr_A,38,14,10,1,1
1B36_38_hp_nmr_A,38,9,20,1,1
1BGZ_23_hp_nmr_A,23,8,7,1,1
1BVJ_23_hp_nmr_A,23,8,7,1,1
1E4P_24_hpbulge_nmr_A,24,7,10,1,1
1E95_36_pseudoknot_nmr_A,36,12,12,1,1
1F9L_22_hp_nmr_A,22,7,8,1,1
1HLX_20_hp_nmr_A,20,7,6,1,1
1IKD_22_hp_nmr_A,22,7,8,1,1
1JUR_22_hp_nmr_A,22,8,6,1,1
1K2G_22_dumbbell_nmr_A,22,6,10,1,1
1K6H_22_hp_nmr_A,22,9,4,1,1
1LDZ_30_hpbulge_nmr_A,30,10,10,1,1
1M82_25_hp_nmr_A,25,9,7,1,1
1MT4_24_hp_nmr_A,24,8,8,1,1
1P5M_55_hpbulge_nmr_A,55,19,17,1,1
1P5O_77_hpbulge_nmr_A,77,23,31,1,1
1QWA_21_hp_nmr_A,21,8,5,1,1
1QWB_26_hp_nmr_A,26,6,14,1,1
1R7W_34_hpbulge_nmr_A,34,12,10,1,1
1RHT_24_hp_nmr_A,24,6,12,1,1
1RNK_36_pseudoknot_nmr_A,34,11,12,1,1
1S2F_23_hp_nmr_A,23,9,5,1,1
1S9S_101_3wj_nmr_A,101,36,29,1,1
1T28_34_hpbulge_nmr_A,34,7,20,1,1
1TBK_17_hp_nmr_A,17,6,5,1,1
1TJZ_26_hp_nmr_A,22,7,8,1,1
1TLR_23_hp_nmr_A,23,7,9,1,1
1UUU_19_hp_nmr_A,19,6,7,1,1
1XWU_16_hp_nmr_A,16,5,6,1,1
1YLG_31_hp_nmr_A,31,10,11,1,1
1Z31_32_hpbulge_nmr_A,32,11,10,1,1
2AHT_27_hp_nmr_A,27,10,7,1,1
2ES5_23_hp_nmr_A,23,10,3,1,1
2EUY_34_hp_nmr_A,34,11,12,1,1
2FDT_35_hp_nmr_A,36,14,8,1,1
2GIO_29_hp_nmr_A,29,9,11,1,1
2GV3_22_hp_nmr_A,22,8,6,1,1
2HUA_40_hpbulge_nmr_A,40,12,16,1,1
2JTP_34_hp_nmr_A,34,13,8,1,1
2K5Z_29_hp_nmr_A,29,11,7,1,1
2K95_48_pseudoknot_nmr_A,48,15,18,1,1
2KD8_22_hp_nmr_A,22,9,4,1,1
2KE6_49_hp_nmr_A,48,18,12,1,1
2KHY_38_hpbulge_nmr_A,38,9,20,1,1
2KPV_34_hpbulge_nmr_A,34,13,8,1,1
2KRL_102_3wj_nmr_A,102,28,46,1,1
2KVN_17_hp_nmr_A,17,5,7,1,1
2KZL_55_hpbulge_nmr_A,55,13,29,1,1
2L2J_42_hp_nmr_A,42,17,8,1,1
2L3E_35_hpbulge_nmr_A,35,13,9,1,1
2L5Z_26_hpbulge_nmr_A,26,9,8,1,1
2LBL_17_hp_nmr_A,17,5,7,1,1
2LDL_27_hp_nmr_A,27,9,9,1,1
2LDT_31_hp_nmr_A,31,11,9,1,1
2LHP_37_hp_nmr_A,37,15,7,1,1
2LI4_32_hp_nmr_A,32,14,4,1,1
2LJJ_27_hpbulge_nmr_A,27,9,9,1,1
2LK3_24_hpbulge_nmr_A,24,9,6,1,1
2LKR_110_3wj_nmr_A,111,33,45,1,1
2LQZ_27_hpbulge_nmr_A,27,8,11,1,1
2LU0_49_3wj_nmr_A,49,16,17,1,1
2LUN_28_hp_nmr_A,28,9,10,1,1
2M12_23_hp_nmr_A,23,6,11,1,1
2M21_21_hp_nmr_A,21,7,7,1,1
2M8K_48_pseudoknot_nmr_A,48,17,14,1,1
2MEQ_19_hp_nmr_A,19,5,9,1,1
2MHI_53_3wj_nmr_A,53,20,13,1,1
2MQT_68_hpbulge_nmr_A,68,25,18,1,1
2MTJ_47_3wj_nmr_A,47,15,17,1,1
2MXL_39_hp_nmr_A,39,13,13,1,1
2N1Q_155_4wj_nmr_A,155,53,49,1,1
2N2P_23_hpbulge_nmr_A,23,6,11,1,1
2N3Q_62_3wj_nmr_A,62,21,20,1,1
2N4L_53_hpbulge_nmr_A,53,21,11,1,1
2N6W_68_hpbulge_nmr_A,68,25,18,1,1
2NC1_67_3wj_nmr_A,67,25,17,1,1
2NCI_28_hpbulge_nmr_A,28,8,12,1,1
2PCV_35_hpbulge_nmr_A,35,9,17,1,1
2QH2_24_hp_nmr_A,24,9,6,1,1
2RO2_23_hp_nmr_A,23,9,5,1,1
2RVO_34_hp_nmr_A,34,13,8,1,1
2TPK_35_pseudoknot_nmr_A,36,12,12,1,1
387D_26_hpbulge_xray_A,26,4,18,1,1
5A17_32_hp_nmr_A,32,11,10,1,1
5KH8_47_3wj_nmr_A,47,14,19,1,1
5KQE_35_hpbulge_nmr_A,36,13,10,1,1
5LSN_28_hp_nmr_A,29,12,5,1,1
5UF3_23_hp_nmr_A,23,9,5,1,1
5UZT_31_hp_nmr_A,31,10,11,1,1
5V16_41_hpbulge_nmr_A,41,15,11,1,1
5WQ1_23_hp_nmr_A,23,9,5,1,1
6HYK_31_hpbulge_nmr_A,31,9,13,1,1
6NOA_56_hp_nmr_A,56,17,22,1,1
6PK9_20_hp_nmr_A,20,7,6,1,1
6U79_37_hp_nmr_A,37,15,7,1,1
6UES_119_4wjpseudoknot_cryoEM_A,119,43,33,1,1
6VAR_61_hpbulge_nmr_A,61,22,17,1,1
6W3M_41_hp_nmr_A,41,15,11,1,1
7DD4_35_dumbbell_nmr_A,36,13,10,1,1
7K4L_36_hp_nmr_A,36,12,12,1,1
7KUB_60_hp_nmr_A,60,23,14,1,1
7LVA_103_3wj_nmr_A,103,32,39,1,1
7LYG_142_4wj_xray_A,142,46,50,1,1
7SHX_94_4wj_nmr_A,94,28,38,1,1
7UGA_43_hpbulge_nmr_A,43,14,15,1,1
7UMC_70_hpbulge_nmr_A,70,21,28,1,1
7UME_28_hp_nmr_A,28,9,10,1,1
7V06_43_hpbulge_nmr_A,43,15,13,1,1
8BWT_26_hp_nmr_A,26,8,10,1,1
8CQ1_43_hp_nmr_A,44,17,10,1,1
8FCS_71_hp_nmr_A,71,27,17,1,1
