manifest_id,rna_id,channel,density_percent,evidence_seed,evidence_item_count,eligibility_status,status,status_detail,return_code,stderr
simulated_evidence_v1__1A60_44_pseudknot_nmr_A__positive_pair_evidence__density_20__seed_103__noise_00,1A60_44_pseudknot_nmr_A,POSITIVE_PAIR_EVIDENCE,20,103,3,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__1A60_44_pseudknot_nmr_A__positive_pair_evidence__density_20__seed_107__noise_00,1A60_44_pseudknot_nmr_A,POSITIVE_PAIR_EVIDENCE,20,107,3,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__1A60_44_pseudknot_nmr_A__positive_pair_evidence__density_20__seed_113__noise_00,1A60_44_pseudknot_nmr_A,POSITIVE_PAIR_EVIDENCE,20,113,3,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__1A60_44_pseudknot_nmr_A__positive_pair_evidence__density_50__seed_101__noise_00,1A60_44_pseudknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,101,7,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__1A60_44_pseudknot_nmr_A__positive_pair_evidence__density_50__seed_103__noise_00,1A60_44_pseudknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,103,7,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__1A60_44_pseudknot_nmr_A__positive_pair_evidence__density_50__seed_107__noise_00,1A60_44_pseudknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,107,7,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__1A60_44_pseudknot_nmr_A__positive_pair_evidence__density_50__seed_109__noise_00,1A60_44_pseudknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,109,7,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__1A60_44_pseudknot_nmr_A__positive_pair_evidence__density_50__seed_113__noise_00,1A60_44_pseudknot_nmr_A,POSITIVE_PAIR_EVIDENCE,50,113,7,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__1E95_36_pseudoknot_nmr_A__positive_pair_evidence__density_20__seed_101__noise_00,1E95_36_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,20,101,2,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
simulated_evidence_v1__1E95_36_pseudoknot_nmr_A__positive_pair_evidence__density_20__seed_103__noise_00,1E95_36_pseudoknot_nmr_A,POSITIVE_PAIR_EVIDENCE,20,103,2,R2_INELIGIBLE_CROSSING_EVIDENCE,R2_INELIGIBLE_CROSSING_EVIDENCE,delivered exact pair set contains crossing relation,,
