rna_id,status,sequence_length,sequence_exists,gt_exists,rnafold_prediction_exists,petfold_prediction_exists,trrna2_prediction_exists,trrna2_pair_score_exists,gt_pair_count,rnafold_pair_count,petfold_pair_count,trrna2_pair_count,warnings,failure_reason
17RA_21_hp_nmr_A,valid,21,true,true,true,true,true,true,7,8,8,8,raw_sequence_lowercase,
1A60_44_pseudknot_nmr_A,valid,44,true,true,true,true,true,true,14,11,11,15,raw_sequence_lowercase,
1A9L_38_hpbulge_nmr_A,valid,38,true,true,true,true,true,true,14,14,14,15,petfold_filename_alias_applied;raw_sequence_lowercase,
1B36_38_hp_nmr_A,valid,38,true,true,true,true,true,true,9,9,11,16,raw_sequence_lowercase,
1BGZ_23_hp_nmr_A,valid,23,true,true,true,true,true,true,8,9,9,8,raw_sequence_lowercase,
1BVJ_23_hp_nmr_A,valid,23,true,true,true,true,true,true,8,8,8,10,raw_sequence_lowercase,
1E4P_24_hpbulge_nmr_A,valid,24,true,true,true,true,true,true,7,7,7,11,raw_sequence_lowercase,
1E95_36_pseudoknot_nmr_A,valid,36,true,true,true,true,true,true,12,6,6,12,raw_sequence_lowercase,
1F9L_22_hp_nmr_A,valid,22,true,true,true,true,true,true,7,7,7,10,raw_sequence_lowercase,
1HLX_20_hp_nmr_A,valid,20,true,true,true,true,true,true,7,8,8,9,raw_sequence_lowercase,
1IKD_22_hp_nmr_A,valid,22,true,true,true,true,true,true,7,7,7,8,raw_sequence_lowercase,
1JUR_22_hp_nmr_A,valid,22,true,true,true,true,true,true,8,8,8,9,raw_sequence_lowercase,
1K2G_22_dumbbell_nmr_A,valid,22,true,true,true,true,true,true,6,3,3,8,raw_sequence_lowercase,
1K6H_22_hp_nmr_A,valid,22,true,true,true,true,true,true,9,9,9,10,raw_sequence_lowercase,
1LDZ_30_hpbulge_nmr_A,valid,30,true,true,true,true,true,true,10,10,10,12,raw_sequence_lowercase,
1M82_25_hp_nmr_A,valid,25,true,true,true,true,true,true,9,10,10,11,raw_sequence_lowercase,
1MT4_24_hp_nmr_A,valid,24,true,true,true,true,true,true,8,8,8,10,raw_sequence_lowercase,
1P5M_55_hpbulge_nmr_A,valid,55,true,true,true,true,true,true,19,19,18,24,raw_sequence_lowercase,
1P5O_77_hpbulge_nmr_A,valid,77,true,true,true,true,true,true,23,25,24,31,raw_sequence_lowercase,
1QWA_21_hp_nmr_A,valid,21,true,true,true,true,true,true,8,8,8,8,raw_sequence_lowercase,
1QWB_26_hp_nmr_A,valid,26,true,true,true,true,true,true,6,6,6,10,raw_sequence_lowercase,
1R7W_34_hpbulge_nmr_A,valid,34,true,true,true,true,true,true,12,12,12,13,raw_sequence_lowercase,
1RHT_24_hp_nmr_A,valid,24,true,true,true,true,true,true,6,8,8,8,raw_sequence_lowercase,
1RNK_36_pseudoknot_nmr_A,valid,34,true,true,true,true,true,true,11,7,7,11,raw_sequence_lowercase,
1S2F_23_hp_nmr_A,valid,23,true,true,true,true,true,true,9,9,9,9,raw_sequence_lowercase,
1S9S_101_3wj_nmr_A,valid,101,true,true,true,true,true,true,36,36,36,41,raw_sequence_lowercase,
1T28_34_hpbulge_nmr_A,valid,34,true,true,true,true,true,true,7,10,10,9,raw_sequence_lowercase,
1TBK_17_hp_nmr_A,valid,17,true,true,true,true,true,true,6,6,6,6,raw_sequence_lowercase,
1TJZ_26_hp_nmr_A,valid,22,true,true,true,true,true,true,7,7,7,10,raw_sequence_lowercase,
1TLR_23_hp_nmr_A,valid,23,true,true,true,true,true,true,7,7,7,9,raw_sequence_lowercase,
1UUU_19_hp_nmr_A,valid,19,true,true,true,true,true,true,6,8,8,7,raw_sequence_lowercase,
1XWU_16_hp_nmr_A,valid,16,true,true,true,true,true,true,5,4,4,7,raw_sequence_lowercase,
1YLG_31_hp_nmr_A,valid,31,true,true,true,true,true,true,10,11,12,13,raw_sequence_lowercase,
1Z31_32_hpbulge_nmr_A,valid,32,true,true,true,true,true,true,11,11,11,12,raw_sequence_lowercase,
2AHT_27_hp_nmr_A,valid,27,true,true,true,true,true,true,10,11,11,12,raw_sequence_lowercase,
2ES5_23_hp_nmr_A,valid,23,true,true,true,true,true,true,10,9,9,10,raw_sequence_lowercase,
2EUY_34_hp_nmr_A,valid,34,true,true,true,true,true,true,11,12,12,14,raw_sequence_lowercase,
2FDT_35_hp_nmr_A,valid,36,true,true,true,true,true,true,14,14,13,15,raw_sequence_lowercase,
2GIO_29_hp_nmr_A,valid,29,true,true,true,true,true,true,9,9,8,13,raw_sequence_lowercase,
2GV3_22_hp_nmr_A,valid,22,true,true,true,true,true,true,8,7,7,8,raw_sequence_lowercase,
2HUA_40_hpbulge_nmr_A,valid,40,true,true,true,true,true,true,12,11,12,15,raw_sequence_lowercase,
2JTP_34_hp_nmr_A,valid,34,true,true,true,true,true,true,13,13,13,14,raw_sequence_lowercase,
2K5Z_29_hp_nmr_A,valid,29,true,true,true,true,true,true,11,11,11,13,raw_sequence_lowercase,
2K95_48_pseudoknot_nmr_A,valid,48,true,true,true,true,true,true,15,8,8,16,raw_sequence_lowercase,
2KD8_22_hp_nmr_A,valid,22,true,true,true,true,true,true,9,9,9,9,raw_sequence_lowercase,
2KE6_49_hp_nmr_A,valid,48,true,true,true,true,true,true,18,19,19,19,raw_sequence_lowercase,
2KHY_38_hpbulge_nmr_A,valid,38,true,true,true,true,true,true,9,10,10,15,raw_sequence_lowercase,
2KPV_34_hpbulge_nmr_A,valid,34,true,true,true,true,true,true,13,12,12,14,raw_sequence_lowercase,
2KRL_102_3wj_nmr_A,valid,102,true,true,true,true,true,true,28,29,30,36,raw_sequence_lowercase,
2KVN_17_hp_nmr_A,valid,17,true,true,true,true,true,true,5,5,5,6,raw_sequence_lowercase,
2KZL_55_hpbulge_nmr_A,valid,55,true,true,true,true,true,true,13,14,14,21,raw_sequence_lowercase,
2L2J_42_hp_nmr_A,valid,42,true,true,true,true,true,true,17,17,19,20,raw_sequence_lowercase,
2L3E_35_hpbulge_nmr_A,valid,35,true,true,true,true,true,true,13,13,13,14,raw_sequence_lowercase,
2L5Z_26_hpbulge_nmr_A,valid,26,true,true,true,true,true,true,9,9,9,11,raw_sequence_lowercase,
2LBL_17_hp_nmr_A,valid,17,true,true,true,true,true,true,5,5,5,5,raw_sequence_lowercase,
2LDL_27_hp_nmr_A,valid,27,true,true,true,true,true,true,9,10,11,10,raw_sequence_lowercase,
2LDT_31_hp_nmr_A,valid,31,true,true,true,true,true,true,11,11,11,13,raw_sequence_lowercase,
2LHP_37_hp_nmr_A,valid,37,true,true,true,true,true,true,15,15,15,17,raw_sequence_lowercase,
2LI4_32_hp_nmr_A,valid,32,true,true,true,true,true,true,14,14,14,15,raw_sequence_lowercase,
2LJJ_27_hpbulge_nmr_A,valid,27,true,true,true,true,true,true,9,10,10,9,raw_sequence_lowercase,
2LK3_24_hpbulge_nmr_A,valid,24,true,true,true,true,true,true,9,9,9,10,raw_sequence_lowercase,
2LKR_110_3wj_nmr_A,valid,111,true,true,true,true,true,true,33,39,37,37,raw_sequence_lowercase,
2LQZ_27_hpbulge_nmr_A,valid,27,true,true,true,true,true,true,8,10,10,10,raw_sequence_lowercase,
2LU0_49_3wj_nmr_A,valid,49,true,true,true,true,true,true,16,16,16,20,raw_sequence_lowercase,
2LUN_28_hp_nmr_A,valid,28,true,true,true,true,true,true,9,9,8,12,raw_sequence_lowercase,
2M12_23_hp_nmr_A,valid,23,true,true,true,true,true,true,6,6,6,7,raw_sequence_lowercase,
2M21_21_hp_nmr_A,valid,21,true,true,true,true,true,true,7,7,7,8,raw_sequence_lowercase,
2M8K_48_pseudoknot_nmr_A,valid,48,true,true,true,true,true,true,17,16,16,17,raw_sequence_lowercase,
2MEQ_19_hp_nmr_A,valid,19,true,true,true,true,true,true,5,6,6,6,raw_sequence_lowercase,
2MHI_53_3wj_nmr_A,valid,53,true,true,true,true,true,true,20,20,20,22,raw_sequence_lowercase,
