rna_id,fold,component_id,component_size,sequence_length,source_records_per_rna,source_models,identity_threshold,split_unit
17RA_21_hp_nmr_A,0,identity_component_000,1,21,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
1A60_44_pseudknot_nmr_A,4,identity_component_001,1,44,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
1A9L_38_hpbulge_nmr_A,3,identity_component_002,1,38,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
1B36_38_hp_nmr_A,2,identity_component_003,1,38,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
1BGZ_23_hp_nmr_A,1,identity_component_004,1,23,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
1BVJ_23_hp_nmr_A,0,identity_component_005,1,23,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
1E4P_24_hpbulge_nmr_A,4,identity_component_006,1,24,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
1E95_36_pseudoknot_nmr_A,3,identity_component_007,1,36,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
1F9L_22_hp_nmr_A,2,identity_component_008,1,22,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
1HLX_20_hp_nmr_A,1,identity_component_009,1,20,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
1IKD_22_hp_nmr_A,0,identity_component_010,1,22,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
1JUR_22_hp_nmr_A,4,identity_component_011,1,22,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
1K2G_22_dumbbell_nmr_A,3,identity_component_012,1,22,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
1K6H_22_hp_nmr_A,2,identity_component_013,1,22,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
1LDZ_30_hpbulge_nmr_A,1,identity_component_014,1,30,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
1M82_25_hp_nmr_A,0,identity_component_015,1,25,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
1MT4_24_hp_nmr_A,4,identity_component_016,1,24,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
1P5M_55_hpbulge_nmr_A,3,identity_component_017,1,55,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
1P5O_77_hpbulge_nmr_A,2,identity_component_018,1,77,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
1QWA_21_hp_nmr_A,1,identity_component_019,1,21,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
1QWB_26_hp_nmr_A,0,identity_component_020,1,26,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
1R7W_34_hpbulge_nmr_A,4,identity_component_021,1,34,3,rnafold|petfold|trrosettarna2_native_ss,0.8,rna_and_identity_component
