manifest_id,rna_id,source_model,channel,density_percent,evidence_seed,evidence_item_count,sequence_length,method,tp,fp,fn,precision,recall,f1,original_tp,original_fp,original_fn,preserved_tp,lost_tp,removed_fp,preserved_original_fp,new_tp,new_fp,unchanged_pairs,deleted_pairs,added_pairs,beneficial_changes,harmful_changes,modified_pair_count,tp_preservation,fp_removal,modification_precision,fp_removed_per_evidence_item,delta_f1_vs_b0,delta_f1_per_evidence_item
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_00__seed_101__noise_00,17RA_21_hp_nmr_A,rnafold,POSITIVE_PAIR_EVIDENCE,0,101,0,21,B0_ORIGINAL,7,1,0,0.875,1.0,0.9333333333333333,7,1,0,7,0,0,1,0,0,8,0,0,0,0,0,1.0,0.0,,,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_00__seed_101__noise_00,17RA_21_hp_nmr_A,rnafold,POSITIVE_PAIR_EVIDENCE,0,101,0,21,B1_LOCAL_HARD,7,1,0,0.875,1.0,0.9333333333333333,7,1,0,7,0,0,1,0,0,8,0,0,0,0,0,1.0,0.0,,,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_00__seed_101__noise_00,17RA_21_hp_nmr_A,rnafold,POSITIVE_PAIR_EVIDENCE,0,101,0,21,B2_GLOBAL_REFOLD,7,1,0,0.875,1.0,0.9333333333333333,7,1,0,7,0,0,1,0,0,8,0,0,0,0,0,1.0,0.0,,,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_00__seed_101__noise_00,17RA_21_hp_nmr_A,petfold,POSITIVE_PAIR_EVIDENCE,0,101,0,21,B0_ORIGINAL,7,1,0,0.875,1.0,0.9333333333333333,7,1,0,7,0,0,1,0,0,8,0,0,0,0,0,1.0,0.0,,,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_00__seed_101__noise_00,17RA_21_hp_nmr_A,petfold,POSITIVE_PAIR_EVIDENCE,0,101,0,21,B1_LOCAL_HARD,7,1,0,0.875,1.0,0.9333333333333333,7,1,0,7,0,0,1,0,0,8,0,0,0,0,0,1.0,0.0,,,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_00__seed_101__noise_00,17RA_21_hp_nmr_A,petfold,POSITIVE_PAIR_EVIDENCE,0,101,0,21,B2_GLOBAL_REFOLD,7,1,0,0.875,1.0,0.9333333333333333,7,1,0,7,0,0,1,0,0,8,0,0,0,0,0,1.0,0.0,,,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_00__seed_101__noise_00,17RA_21_hp_nmr_A,trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,0,101,0,21,B0_ORIGINAL,7,1,0,0.875,1.0,0.9333333333333333,7,1,0,7,0,0,1,0,0,8,0,0,0,0,0,1.0,0.0,,,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_00__seed_101__noise_00,17RA_21_hp_nmr_A,trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,0,101,0,21,B1_LOCAL_HARD,7,1,0,0.875,1.0,0.9333333333333333,7,1,0,7,0,0,1,0,0,8,0,0,0,0,0,1.0,0.0,,,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_00__seed_101__noise_00,17RA_21_hp_nmr_A,trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,0,101,0,21,B2_GLOBAL_REFOLD,7,1,0,0.875,1.0,0.9333333333333333,7,1,0,7,0,1,0,0,1,7,1,1,1,1,2,1.0,1.0,0.5,,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_00__seed_103__noise_00,17RA_21_hp_nmr_A,rnafold,POSITIVE_PAIR_EVIDENCE,0,103,0,21,B0_ORIGINAL,7,1,0,0.875,1.0,0.9333333333333333,7,1,0,7,0,0,1,0,0,8,0,0,0,0,0,1.0,0.0,,,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_00__seed_103__noise_00,17RA_21_hp_nmr_A,rnafold,POSITIVE_PAIR_EVIDENCE,0,103,0,21,B1_LOCAL_HARD,7,1,0,0.875,1.0,0.9333333333333333,7,1,0,7,0,0,1,0,0,8,0,0,0,0,0,1.0,0.0,,,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_00__seed_103__noise_00,17RA_21_hp_nmr_A,rnafold,POSITIVE_PAIR_EVIDENCE,0,103,0,21,B2_GLOBAL_REFOLD,7,1,0,0.875,1.0,0.9333333333333333,7,1,0,7,0,0,1,0,0,8,0,0,0,0,0,1.0,0.0,,,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_00__seed_103__noise_00,17RA_21_hp_nmr_A,petfold,POSITIVE_PAIR_EVIDENCE,0,103,0,21,B0_ORIGINAL,7,1,0,0.875,1.0,0.9333333333333333,7,1,0,7,0,0,1,0,0,8,0,0,0,0,0,1.0,0.0,,,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_00__seed_103__noise_00,17RA_21_hp_nmr_A,petfold,POSITIVE_PAIR_EVIDENCE,0,103,0,21,B1_LOCAL_HARD,7,1,0,0.875,1.0,0.9333333333333333,7,1,0,7,0,0,1,0,0,8,0,0,0,0,0,1.0,0.0,,,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_00__seed_103__noise_00,17RA_21_hp_nmr_A,petfold,POSITIVE_PAIR_EVIDENCE,0,103,0,21,B2_GLOBAL_REFOLD,7,1,0,0.875,1.0,0.9333333333333333,7,1,0,7,0,0,1,0,0,8,0,0,0,0,0,1.0,0.0,,,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_00__seed_103__noise_00,17RA_21_hp_nmr_A,trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,0,103,0,21,B0_ORIGINAL,7,1,0,0.875,1.0,0.9333333333333333,7,1,0,7,0,0,1,0,0,8,0,0,0,0,0,1.0,0.0,,,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_00__seed_103__noise_00,17RA_21_hp_nmr_A,trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,0,103,0,21,B1_LOCAL_HARD,7,1,0,0.875,1.0,0.9333333333333333,7,1,0,7,0,0,1,0,0,8,0,0,0,0,0,1.0,0.0,,,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_00__seed_103__noise_00,17RA_21_hp_nmr_A,trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,0,103,0,21,B2_GLOBAL_REFOLD,7,1,0,0.875,1.0,0.9333333333333333,7,1,0,7,0,1,0,0,1,7,1,1,1,1,2,1.0,1.0,0.5,,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_00__seed_107__noise_00,17RA_21_hp_nmr_A,rnafold,POSITIVE_PAIR_EVIDENCE,0,107,0,21,B0_ORIGINAL,7,1,0,0.875,1.0,0.9333333333333333,7,1,0,7,0,0,1,0,0,8,0,0,0,0,0,1.0,0.0,,,0.0,
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_00__seed_107__noise_00,17RA_21_hp_nmr_A,rnafold,POSITIVE_PAIR_EVIDENCE,0,107,0,21,B1_LOCAL_HARD,7,1,0,0.875,1.0,0.9333333333333333,7,1,0,7,0,0,1,0,0,8,0,0,0,0,0,1.0,0.0,,,0.0,
